"LINETOOL.Title","Advanced Line Tool"
"LINETOOL.LineMode","Режим линии"
"LINETOOL.Options","Параметры"
"LINETOOL.FenceMode","Режим ограждений"
"LINETOOL_DESCRIPTION.FenceMode","Автоматически выравнивать и размещать объекты непрерывно, как забор."
"LINETOOL.W2WMode","Стена к стене"
"LINETOOL_DESCRIPTION.W2WMode","Автоматически выравнивать и размещать объекты непрерывно, как забор."
"LINETOOL.RandomizationEnabled","Рандомизация включена"
"LINETOOL_DESCRIPTION.RandomizationEnabled","Включает случайную вариацию объектов."
"LINETOOL.ChangeRandom","Изменить случайный сид"
"LINETOOL_DESCRIPTION.ChangeRandom","Нажмите, чтобы изменить фиксированный случайный ключ, используемый для генерации вариаций объекта."
"LINETOOL.PointMode","Один элемент"
"LINETOOL_DESCRIPTION.PointMode","Размещайте по одному предмету за раз, используя стандартный игровой инструмент."
"LINETOOL.StraightLine","Прямая линия"
"LINETOOL_DESCRIPTION.StraightLine","Разместите предметы вдоль прямой линии от точки A до точки B."
"LINETOOL.SimpleCurve","Простая кривая"
"LINETOOL_DESCRIPTION.SimpleCurve","Определите начало и изгиб, затем определите конечную точку."
"LINETOOL.Circle","Круг"
"LINETOOL_DESCRIPTION.Circle","Определите центр окружности, затем задайте радиус."
"LINETOOL.Grid","Grid"
"LINETOOL_DESCRIPTION.Grid","Define the base of the grid, then the side."
"LINETOOL.LengthSnap","Snap to length"
"LINETOOL_DESCRIPTION.LengthSnap","Snap guideline length to an exact multiple of the current spacing setting."
"LINETOOL.FixedLength","Фиксированная длина"
"LINETOOL_DESCRIPTION.FixedLength","Размещайте элементы по всей длине линии от начала до конца, используя заданный интервал только как приблизительный. Если это значение НЕ задано, то элементы будут располагаться точно в соответствии с заданным интервалом, даже если это означает, что они не могут быть размещены по всей длине линии."
"LINETOOL.RelativeRotation","Относительное вращение"
"LINETOOL_DESCRIPTION.RelativeRotation","Каждый элемент сталкивается в направлении линии (следуя любым кривым)."
"LINETOOL.AbsoluteRotation","Абсолютное вращение"
"LINETOOL_DESCRIPTION.AbsoluteRotation","Каждый элемент находится в одном направлении (игнорирование направления линия)."
"LINETOOL.RandomRotation","Случайное вращение"
"LINETOOL_DESCRIPTION.RandomRotation","Поверните каждый предмет в произвольном порядке, чтобы все они были направлены в разные стороны."
"LINETOOL.SpacingDown","Уменьшить интервал между ними"
"LINETOOL.SpacingUp","Увеличить интервал между ними"
"LINETOOL_DESCRIPTION.SpacingModifiers","Измените размер шага, удерживая нажатой клавишу Shift (шаг - 10 м) или Ctrl (шаг - 0,1 м)."
"LINETOOL.AntiClockwise","Повернуть против часовой стрелки"
"LINETOOL.Clockwise","Повернуть по часовой стрелке"
"LINETOOL_DESCRIPTION.RotationModifiers","Измените размер шага, удерживая нажатой клавишу Shift (поворот на 90°) или Ctrl (поворот на 1°)."
"LINETOOL.RandomSpacingDown","Уменьшить случайное изменение интервала"
"LINETOOL.RandomSpacingUp","Увеличить случайное изменение интервала"
"LINETOOL.RandomOffsetDown","Уменьшить случайные боковые колебания"
"LINETOOL.RandomOffsetUp","Увеличить случайные боковые колебания"
"LINETOOL.Spacing","Интервал"
"LINETOOL_DESCRIPTION.Spacing","Объекты будут стоять в интервале друг от друга на это расстояние (или примерно на это расстояние, если выбрана фиксированная длина интервала)."
"LINETOOL.Rotation","Вращение"
"LINETOOL_DESCRIPTION.Rotation","Объекты будут повернуты на эту величину."
"LINETOOL.SpacingVariation","Изменение интервала"
"LINETOOL_DESCRIPTION.SpacingVariation","Расстояние между объектами вдоль линии будет изменяться на случайное расстояние до этого максимума. Для точного размещения установите нулевое значение."
"LINETOOL.OffsetVariation","Изменение смещения"
"LINETOOL_DESCRIPTION.OffsetVariation","Объекты будут случайным образом смещены в сторону от линии до этого максимального расстояния. Для точного размещения установите нулевое значение."
